"treatment","strip","plot","year","redo","full.treatment.name","spp","genus","species","dbh.cm","basal.area.m2"
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",44.8,0.157632552986521
"R",1,1,2022,"N","Reference","Ulmame","Ulmus","americana",24,0.045238934211693
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",45.4,0.161883127846828
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",63.6,0.317690415501614
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",26.3,0.0543252055640381
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",18.9,0.0280552077947202
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",36.8,0.106361760879936
"R",1,1,2022,"N","Reference","Ulmame","Ulmus","americana",12.3,0.01188228881404
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",58.2,0.266033207498637
"R",1,1,2022,"N","Reference","Ulmame","Ulmus","americana",14.5,0.0165129963854313
"R",1,1,2022,"N","Reference","Acesai","Acer","saccharinum",40.1,0.126292810072473
"R",1,1,2022,"N","Reference","Celocc","Celtis","occidentalis",19.2,0.0289529178954835
"R",1,2,2022,"N","Reference","Celocc","Celtis","occidentalis",18.1,0.0257304292310638
"R",1,2,2022,"N","Reference","Celocc","Celtis","occidentalis",13.1,0.0134782178820636
"R",1,2,2022,"N","Reference","Celocc","Celtis","occidentalis",29.5,0.0683492751696629
"R",1,2,2022,"N","Reference","Celocc","Celtis","occidentalis",35.8,0.100659770213671
"R",1,2,2022,"N","Reference","Acesai","Acer","saccharinum",48.6,0.185507904601824
"R",1,2,2022,"N","Reference","Acesai","Acer","saccharinum",54.8,0.235858210060907
"R",1,2,2022,"N","Reference","Ulmame","Ulmus","americana",18.5,0.0268802521422777
"R",1,2,2022,"N","Reference","Gletria","Gleditsia","triacanthos",32,0.0804247719318987
"R",1,2,2022,"N","Reference","Ulmame","Ulmus","americana",19.6,0.0301718558450764
"R",1,2,2022,"N","Reference","Ulmame","Ulmus","americana",18.1,0.0257304292310638
"R",1,3,2022,"N","Reference","Acesai","Acer","saccharinum",46.4,0.169093082986817
"R",1,3,2022,"N","Reference","Acesai","Acer","saccharinum",30.1,0.0711578590019722
"R",1,3,2022,"N","Reference","Acesai","Acer","saccharinum",39.9,0.125036173011037
"R",1,3,2022,"N","Reference","Acesai","Acer","saccharinum",24.2,0.0459960580412082
"R",1,3,2022,"N","Reference","Acesai","Acer","saccharinum",23.8,0.0444880935674851
"R",1,3,2022,"N","Reference","Acesai","Acer","saccharinum",47.8,0.179450913965703
